Zone,Contest,FGA,FGM,FG_PCT
Above the Break 3,Heavy Contest,5345,1558,0.2915
Above the Break 3,Slight Contest,11809,3987,0.3376
Above the Break 3,Wide Open,10844,4089,0.3771
Corner 3,Heavy Contest,1230,409,0.3325
Corner 3,Slight Contest,2160,841,0.3894
Corner 3,Wide Open,2508,1031,0.4111
Free Throw / Short Range,Heavy Contest,34547,15461,0.4475
Free Throw / Short Range,Slight Contest,5865,3162,0.5391
Free Throw / Short Range,Wide Open,1320,934,0.7076
Mid-Range,Heavy Contest,9817,3557,0.3623
Mid-Range,Slight Contest,12936,5237,0.4048
Mid-Range,Wide Open,7254,3267,0.4504
Restricted Area (Layup),Heavy Contest,19053,11481,0.6026
Restricted Area (Layup),Slight Contest,2408,1986,0.8248
Restricted Area (Layup),Wide Open,973,905,0.9301
