player_name,Zone,Contest,FGA,FGM,FG_PCT
aaron brooks,Above the Break 3,Heavy Contest,67,23,0.3433
aaron brooks,Above the Break 3,Slight Contest,87,36,0.4138
aaron brooks,Above the Break 3,Wide Open,45,22,0.4889
aaron brooks,Corner 3,Slight Contest,12,5,0.4167
aaron brooks,Free Throw / Short Range,Heavy Contest,171,70,0.4094
aaron brooks,Free Throw / Short Range,Slight Contest,32,12,0.375
aaron brooks,Mid-Range,Heavy Contest,27,8,0.2963
aaron brooks,Mid-Range,Slight Contest,27,9,0.3333
aaron brooks,Restricted Area (Layup),Heavy Contest,61,31,0.5082
aaron brooks,Restricted Area (Layup),Slight Contest,12,9,0.75
aaron gordon,Above the Break 3,Wide Open,11,3,0.2727
aaron gordon,Free Throw / Short Range,Heavy Contest,42,20,0.4762
aaron gordon,Restricted Area (Layup),Heavy Contest,23,17,0.7391
al farouq aminu,Above the Break 3,Slight Contest,26,2,0.0769
al farouq aminu,Above the Break 3,Wide Open,35,13,0.3714
al farouq aminu,Corner 3,Slight Contest,10,4,0.4
al farouq aminu,Corner 3,Wide Open,18,6,0.3333
al farouq aminu,Free Throw / Short Range,Heavy Contest,55,24,0.4364
al farouq aminu,Mid-Range,Slight Contest,13,3,0.2308
al farouq aminu,Restricted Area (Layup),Heavy Contest,54,36,0.6667
al farouq aminu,Restricted Area (Layup),Slight Contest,10,8,0.8
al horford,Above the Break 3,Wide Open,16,3,0.1875
al horford,Corner 3,Wide Open,11,5,0.4545
al horford,Free Throw / Short Range,Heavy Contest,223,117,0.5247
al horford,Free Throw / Short Range,Slight Contest,46,25,0.5435
al horford,Free Throw / Short Range,Wide Open,10,8,0.8
al horford,Mid-Range,Slight Contest,101,39,0.3861
al horford,Mid-Range,Wide Open,201,111,0.5522
al horford,Restricted Area (Layup),Heavy Contest,82,60,0.7317
al horford,Restricted Area (Layup),Slight Contest,10,10,1.0
al jefferson,Free Throw / Short Range,Heavy Contest,446,201,0.4507
al jefferson,Free Throw / Short Range,Slight Contest,56,35,0.625
al jefferson,Free Throw / Short Range,Wide Open,11,7,0.6364
al jefferson,Mid-Range,Heavy Contest,52,15,0.2885
al jefferson,Mid-Range,Slight Contest,108,43,0.3981
al jefferson,Mid-Range,Wide Open,33,16,0.4848
al jefferson,Restricted Area (Layup),Heavy Contest,84,56,0.6667
alan anderson,Above the Break 3,Heavy Contest,40,13,0.325
alan anderson,Above the Break 3,Slight Contest,55,14,0.2545
alan anderson,Above the Break 3,Wide Open,27,13,0.4815
alan anderson,Corner 3,Heavy Contest,19,8,0.4211
alan anderson,Corner 3,Slight Contest,17,6,0.3529
alan anderson,Corner 3,Wide Open,16,6,0.375
alan anderson,Free Throw / Short Range,Heavy Contest,58,30,0.5172
alan anderson,Free Throw / Short Range,Slight Contest,12,6,0.5
alan anderson,Mid-Range,Heavy Contest,28,8,0.2857
alan anderson,Mid-Range,Slight Contest,14,7,0.5
alan anderson,Restricted Area (Layup),Heavy Contest,35,23,0.6571
alan crabbe,Above the Break 3,Slight Contest,13,4,0.3077
alan crabbe,Above the Break 3,Wide Open,19,8,0.4211
alex len,Free Throw / Short Range,Heavy Contest,68,33,0.4853
alex len,Free Throw / Short Range,Slight Contest,15,6,0.4
alex len,Mid-Range,Slight Contest,30,9,0.3
alex len,Mid-Range,Wide Open,30,10,0.3333
alex len,Restricted Area (Layup),Heavy Contest,119,74,0.6218
alex len,Restricted Area (Layup),Slight Contest,20,18,0.9
alexis ajinca,Free Throw / Short Range,Heavy Contest,89,54,0.6067
alexis ajinca,Free Throw / Short Range,Slight Contest,24,15,0.625
alexis ajinca,Mid-Range,Slight Contest,16,7,0.4375
alexis ajinca,Mid-Range,Wide Open,20,9,0.45
alexis ajinca,Restricted Area (Layup),Heavy Contest,49,32,0.6531
alonzo gee,Free Throw / Short Range,Heavy Contest,54,20,0.3704
alonzo gee,Restricted Area (Layup),Heavy Contest,30,20,0.6667
alonzo gee,Restricted Area (Layup),Slight Contest,10,8,0.8
amare stoudemire,Free Throw / Short Range,Heavy Contest,136,71,0.5221
amare stoudemire,Mid-Range,Heavy Contest,12,3,0.25
amare stoudemire,Mid-Range,Slight Contest,29,9,0.3103
amare stoudemire,Mid-Range,Wide Open,14,6,0.4286
amare stoudemire,Restricted Area (Layup),Heavy Contest,123,80,0.6504
amare stoudemire,Restricted Area (Layup),Slight Contest,10,10,1.0
amir johnson,Above the Break 3,Slight Contest,14,4,0.2857
amir johnson,Above the Break 3,Wide Open,13,6,0.4615
amir johnson,Free Throw / Short Range,Heavy Contest,164,87,0.5305
amir johnson,Free Throw / Short Range,Slight Contest,21,14,0.6667
amir johnson,Mid-Range,Slight Contest,13,8,0.6154
amir johnson,Restricted Area (Layup),Heavy Contest,131,83,0.6336
amir johnson,Restricted Area (Layup),Slight Contest,20,17,0.85
andre drummond,Free Throw / Short Range,Heavy Contest,285,114,0.4
andre drummond,Free Throw / Short Range,Slight Contest,27,17,0.6296
andre drummond,Restricted Area (Layup),Heavy Contest,291,167,0.5739
andre drummond,Restricted Area (Layup),Slight Contest,33,24,0.7273
andre drummond,Restricted Area (Layup),Wide Open,13,8,0.6154
andre iguodala,Above the Break 3,Slight Contest,47,13,0.2766
andre iguodala,Above the Break 3,Wide Open,43,19,0.4419
andre iguodala,Corner 3,Slight Contest,18,7,0.3889
andre iguodala,Corner 3,Wide Open,24,8,0.3333
andre iguodala,Free Throw / Short Range,Heavy Contest,55,26,0.4727
andre iguodala,Free Throw / Short Range,Slight Contest,16,12,0.75
andre iguodala,Mid-Range,Heavy Contest,23,6,0.2609
andre iguodala,Mid-Range,Slight Contest,32,14,0.4375
andre iguodala,Restricted Area (Layup),Heavy Contest,42,25,0.5952
andre iguodala,Restricted Area (Layup),Slight Contest,10,9,0.9
andre miller,Free Throw / Short Range,Heavy Contest,63,28,0.4444
andre miller,Free Throw / Short Range,Slight Contest,16,9,0.5625
andre miller,Mid-Range,Heavy Contest,19,11,0.5789
andre miller,Restricted Area (Layup),Heavy Contest,52,35,0.6731
andre roberson,Above the Break 3,Slight Contest,11,3,0.2727
andre roberson,Above the Break 3,Wide Open,37,8,0.2162
andre roberson,Corner 3,Wide Open,14,5,0.3571
andre roberson,Free Throw / Short Range,Heavy Contest,30,14,0.4667
andre roberson,Free Throw / Short Range,Slight Contest,12,10,0.8333
andre roberson,Restricted Area (Layup),Heavy Contest,45,24,0.5333
andrew bogut,Free Throw / Short Range,Heavy Contest,109,49,0.4495
andrew bogut,Free Throw / Short Range,Slight Contest,17,9,0.5294
andrew bogut,Restricted Area (Layup),Heavy Contest,77,51,0.6623
andrew bogut,Restricted Area (Layup),Slight Contest,21,16,0.7619
andrew wiggins,Above the Break 3,Heavy Contest,12,1,0.0833
andrew wiggins,Above the Break 3,Slight Contest,30,14,0.4667
andrew wiggins,Above the Break 3,Wide Open,41,15,0.3659
andrew wiggins,Free Throw / Short Range,Heavy Contest,302,129,0.4272
andrew wiggins,Free Throw / Short Range,Slight Contest,21,14,0.6667
andrew wiggins,Mid-Range,Heavy Contest,100,30,0.3
andrew wiggins,Mid-Range,Slight Contest,116,39,0.3362
andrew wiggins,Mid-Range,Wide Open,31,13,0.4194
andrew wiggins,Restricted Area (Layup),Heavy Contest,104,69,0.6635
andrew wiggins,Restricted Area (Layup),Slight Contest,10,9,0.9
anthony bennett,Free Throw / Short Range,Heavy Contest,53,22,0.4151
anthony bennett,Mid-Range,Heavy Contest,17,3,0.1765
anthony bennett,Mid-Range,Slight Contest,64,23,0.3594
anthony bennett,Mid-Range,Wide Open,63,20,0.3175
anthony bennett,Restricted Area (Layup),Heavy Contest,50,35,0.7
anthony davis,Free Throw / Short Range,Heavy Contest,301,158,0.5249
anthony davis,Free Throw / Short Range,Slight Contest,25,20,0.8
anthony davis,Free Throw / Short Range,Wide Open,10,9,0.9
anthony davis,Mid-Range,Heavy Contest,47,16,0.3404
anthony davis,Mid-Range,Slight Contest,191,81,0.4241
anthony davis,Mid-Range,Wide Open,80,38,0.475
anthony davis,Restricted Area (Layup),Heavy Contest,145,104,0.7172
anthony davis,Restricted Area (Layup),Slight Contest,24,21,0.875
anthony morrow,Above the Break 3,Heavy Contest,29,3,0.1034
anthony morrow,Above the Break 3,Slight Contest,44,16,0.3636
anthony morrow,Above the Break 3,Wide Open,57,29,0.5088
anthony morrow,Corner 3,Heavy Contest,13,3,0.2308
anthony morrow,Corner 3,Slight Contest,29,11,0.3793
anthony morrow,Corner 3,Wide Open,30,16,0.5333
anthony morrow,Free Throw / Short Range,Heavy Contest,84,38,0.4524
anthony morrow,Free Throw / Short Range,Slight Contest,16,10,0.625
anthony morrow,Mid-Range,Heavy Contest,41,16,0.3902
anthony morrow,Mid-Range,Slight Contest,39,18,0.4615
anthony morrow,Restricted Area (Layup),Heavy Contest,17,13,0.7647
aron baynes,Free Throw / Short Range,Heavy Contest,81,41,0.5062
aron baynes,Free Throw / Short Range,Slight Contest,13,6,0.4615
aron baynes,Mid-Range,Slight Contest,16,6,0.375
aron baynes,Mid-Range,Wide Open,16,7,0.4375
aron baynes,Restricted Area (Layup),Heavy Contest,105,65,0.619
arron afflalo,Above the Break 3,Heavy Contest,69,21,0.3043
arron afflalo,Above the Break 3,Slight Contest,69,26,0.3768
arron afflalo,Above the Break 3,Wide Open,35,11,0.3143
arron afflalo,Corner 3,Heavy Contest,28,9,0.3214
arron afflalo,Corner 3,Slight Contest,44,16,0.3636
arron afflalo,Corner 3,Wide Open,14,6,0.4286
arron afflalo,Free Throw / Short Range,Heavy Contest,178,85,0.4775
arron afflalo,Free Throw / Short Range,Slight Contest,35,17,0.4857
arron afflalo,Mid-Range,Heavy Contest,102,51,0.5
arron afflalo,Mid-Range,Slight Contest,61,28,0.459
arron afflalo,Restricted Area (Layup),Heavy Contest,35,14,0.4
avery bradley,Above the Break 3,Heavy Contest,31,9,0.2903
avery bradley,Above the Break 3,Slight Contest,95,28,0.2947
avery bradley,Above the Break 3,Wide Open,71,30,0.4225
avery bradley,Corner 3,Heavy Contest,10,6,0.6
avery bradley,Corner 3,Slight Contest,20,10,0.5
avery bradley,Corner 3,Wide Open,23,8,0.3478
avery bradley,Free Throw / Short Range,Heavy Contest,71,35,0.493
avery bradley,Free Throw / Short Range,Slight Contest,14,9,0.6429
avery bradley,Mid-Range,Heavy Contest,150,59,0.3933
avery bradley,Mid-Range,Slight Contest,126,50,0.3968
avery bradley,Mid-Range,Wide Open,43,22,0.5116
avery bradley,Restricted Area (Layup),Heavy Contest,79,40,0.5063
avery bradley,Restricted Area (Layup),Slight Contest,13,12,0.9231
ben gordon,Above the Break 3,Heavy Contest,24,6,0.25
ben gordon,Above the Break 3,Slight Contest,32,11,0.3438
ben gordon,Above the Break 3,Wide Open,12,4,0.3333
ben gordon,Free Throw / Short Range,Heavy Contest,61,29,0.4754
ben gordon,Mid-Range,Heavy Contest,57,19,0.3333
ben gordon,Mid-Range,Slight Contest,23,13,0.5652
ben gordon,Restricted Area (Layup),Heavy Contest,12,6,0.5
ben mclemore,Above the Break 3,Heavy Contest,36,12,0.3333
ben mclemore,Above the Break 3,Slight Contest,93,24,0.2581
ben mclemore,Above the Break 3,Wide Open,101,42,0.4158
ben mclemore,Corner 3,Heavy Contest,15,4,0.2667
ben mclemore,Corner 3,Slight Contest,19,11,0.5789
ben mclemore,Corner 3,Wide Open,22,10,0.4545
ben mclemore,Free Throw / Short Range,Heavy Contest,98,44,0.449
ben mclemore,Free Throw / Short Range,Slight Contest,21,16,0.7619
ben mclemore,Mid-Range,Heavy Contest,40,13,0.325
ben mclemore,Mid-Range,Slight Contest,46,21,0.4565
ben mclemore,Mid-Range,Wide Open,23,11,0.4783
ben mclemore,Restricted Area (Layup),Heavy Contest,35,17,0.4857
ben mclemore,Restricted Area (Layup),Slight Contest,12,10,0.8333
ben mclemore,Restricted Area (Layup),Wide Open,12,12,1.0
beno urdih,Above the Break 3,Slight Contest,20,3,0.15
beno urdih,Above the Break 3,Wide Open,37,10,0.2703
beno urdih,Free Throw / Short Range,Heavy Contest,50,19,0.38
beno urdih,Free Throw / Short Range,Slight Contest,18,14,0.7778
beno urdih,Mid-Range,Heavy Contest,76,39,0.5132
beno urdih,Mid-Range,Slight Contest,47,27,0.5745
beno urdih,Mid-Range,Wide Open,25,12,0.48
beno urdih,Restricted Area (Layup),Heavy Contest,45,32,0.7111
bismack biyombo,Free Throw / Short Range,Heavy Contest,38,12,0.3158
bismack biyombo,Restricted Area (Layup),Heavy Contest,67,48,0.7164
blake griffin,Above the Break 3,Wide Open,11,5,0.4545
blake griffin,Free Throw / Short Range,Heavy Contest,286,152,0.5315
blake griffin,Free Throw / Short Range,Slight Contest,35,19,0.5429
blake griffin,Free Throw / Short Range,Wide Open,17,14,0.8235
blake griffin,Mid-Range,Heavy Contest,17,4,0.2353
blake griffin,Mid-Range,Slight Contest,101,42,0.4158
blake griffin,Mid-Range,Wide Open,251,102,0.4064
blake griffin,Restricted Area (Layup),Heavy Contest,140,84,0.6
blake griffin,Restricted Area (Layup),Slight Contest,17,14,0.8235
bojan bogdanovic,Above the Break 3,Heavy Contest,11,3,0.2727
bojan bogdanovic,Above the Break 3,Slight Contest,60,17,0.2833
bojan bogdanovic,Above the Break 3,Wide Open,69,22,0.3188
bojan bogdanovic,Corner 3,Slight Contest,11,4,0.3636
bojan bogdanovic,Corner 3,Wide Open,14,4,0.2857
bojan bogdanovic,Free Throw / Short Range,Heavy Contest,78,39,0.5
bojan bogdanovic,Mid-Range,Slight Contest,17,6,0.3529
bojan bogdanovic,Restricted Area (Layup),Heavy Contest,54,36,0.6667
boris diaw,Above the Break 3,Wide Open,108,36,0.3333
boris diaw,Free Throw / Short Range,Heavy Contest,126,61,0.4841
boris diaw,Free Throw / Short Range,Slight Contest,36,18,0.5
boris diaw,Mid-Range,Slight Contest,19,5,0.2632
boris diaw,Mid-Range,Wide Open,22,10,0.4545
boris diaw,Restricted Area (Layup),Heavy Contest,84,47,0.5595
boris diaw,Restricted Area (Layup),Slight Contest,10,8,0.8
bradley beal,Above the Break 3,Heavy Contest,17,6,0.3529
bradley beal,Above the Break 3,Slight Contest,60,27,0.45
bradley beal,Above the Break 3,Wide Open,69,28,0.4058
bradley beal,Corner 3,Wide Open,21,7,0.3333
bradley beal,Free Throw / Short Range,Heavy Contest,114,42,0.3684
bradley beal,Free Throw / Short Range,Slight Contest,19,10,0.5263
bradley beal,Mid-Range,Heavy Contest,93,33,0.3548
bradley beal,Mid-Range,Slight Contest,85,34,0.4
bradley beal,Mid-Range,Wide Open,20,4,0.2
bradley beal,Restricted Area (Layup),Heavy Contest,52,30,0.5769
brandon bass,Free Throw / Short Range,Heavy Contest,132,48,0.3636
brandon bass,Free Throw / Short Range,Slight Contest,23,14,0.6087
brandon bass,Mid-Range,Heavy Contest,54,21,0.3889
brandon bass,Mid-Range,Slight Contest,129,57,0.4419
brandon bass,Mid-Range,Wide Open,27,13,0.4815
brandon bass,Restricted Area (Layup),Heavy Contest,85,58,0.6824
brandon bass,Restricted Area (Layup),Slight Contest,11,10,0.9091
brandon jennings,Above the Break 3,Heavy Contest,51,15,0.2941
brandon jennings,Above the Break 3,Slight Contest,94,31,0.3298
brandon jennings,Above the Break 3,Wide Open,45,19,0.4222
brandon jennings,Free Throw / Short Range,Heavy Contest,130,54,0.4154
brandon jennings,Free Throw / Short Range,Slight Contest,30,12,0.4
brandon jennings,Mid-Range,Heavy Contest,36,8,0.2222
brandon jennings,Mid-Range,Slight Contest,44,21,0.4773
brandon jennings,Mid-Range,Wide Open,23,10,0.4348
brandon jennings,Restricted Area (Layup),Heavy Contest,51,22,0.4314
brandon knight,Above the Break 3,Heavy Contest,45,18,0.4
brandon knight,Above the Break 3,Slight Contest,126,43,0.3413
brandon knight,Above the Break 3,Wide Open,106,50,0.4717
brandon knight,Corner 3,Wide Open,10,5,0.5
brandon knight,Free Throw / Short Range,Heavy Contest,180,72,0.4
brandon knight,Free Throw / Short Range,Slight Contest,24,13,0.5417
brandon knight,Mid-Range,Heavy Contest,84,32,0.381
brandon knight,Mid-Range,Slight Contest,100,36,0.36
brandon knight,Mid-Range,Wide Open,36,14,0.3889
brandon knight,Restricted Area (Layup),Heavy Contest,72,40,0.5556
brandon knight,Restricted Area (Layup),Slight Contest,11,9,0.8182
brandon knight,Restricted Area (Layup),Wide Open,15,14,0.9333
brian roberts,Above the Break 3,Heavy Contest,20,4,0.2
brian roberts,Above the Break 3,Slight Contest,61,19,0.3115
brian roberts,Above the Break 3,Wide Open,51,18,0.3529
brian roberts,Corner 3,Wide Open,10,6,0.6
brian roberts,Free Throw / Short Range,Heavy Contest,69,32,0.4638
brian roberts,Mid-Range,Heavy Contest,59,24,0.4068
brian roberts,Mid-Range,Slight Contest,50,25,0.5
brian roberts,Mid-Range,Wide Open,19,9,0.4737
brian roberts,Restricted Area (Layup),Heavy Contest,11,5,0.4545
brook lopez,Free Throw / Short Range,Heavy Contest,280,127,0.4536
brook lopez,Free Throw / Short Range,Slight Contest,55,28,0.5091
brook lopez,Free Throw / Short Range,Wide Open,11,8,0.7273
brook lopez,Mid-Range,Heavy Contest,17,7,0.4118
brook lopez,Mid-Range,Slight Contest,41,17,0.4146
brook lopez,Mid-Range,Wide Open,96,43,0.4479
